Date,News,
2016-04-05,San Francisco could be first U.S. city with fully paid parental leave,
2016-04-06,U.S. companies use social media to denounce laws seen as anti-gay,
2016-04-06,"Daimler confirms HERE in talks with Amazon, Microsoft",
2016-04-07,Verizon plans bid for Yahoo and its Yahoo Japan stake: Bloomberg,
2016-04-08,Bosch considers stake in digital mapping company HERE,
2016-04-11,Microsoft offers first major endorsement of new EU-U.S. data pact,
2016-04-12,EU privacy watchdogs could seek US data pact review in two years,
2016-04-12,EU privacy watchdogs could seek U.S. data pact review in two years,
2016-04-14,Microsoft sues U.S. government over data requests,
2016-04-14,U.S. agency advises Windows PC users remove Apple's QuickTime over bugs,
2016-04-14,"Microsoft lawsuit against government relies on speech, privacy rights",
2016-04-15,"Nikkei slides on profit taking, but posts big gains for the week",
2016-04-15,Browser startup Vivaldi says needs 5 million users to turn profit,
2016-04-15,EU wants more transparency in web search results,
2016-04-15,"The 10-Point: @GerardTBaker on Microsoft, negative interest rates, SunEdison's fall and more http://on.wsj.com/1V6jQbd pic.twitter.com/MOKo2onAjo",
2016-04-15,"Democrats debate, Microsoft v the government and more. Catch up with the Morning Briefing: http://reut.rs/1qLobnI pic.twitter.com/Fn01mpaZq8",
2016-04-16,Microsoft sues US government over data requests http://cnb.cx/23yCAFb pic.twitter.com/bDUzDPWrUv,
2016-04-18,Bill Gates says U.S. needs limits on covert email searches,
2016-04-18,Tencent's Pony Ma says to give shares worth $2 bln to charity,
2016-04-20,U.S. court rejected claim FBI use of spy data is unconstitutional,
2016-04-20,How Microsoft is reclaiming its former glory http://on.wsj.com/1VkS0bx,
2016-04-20,Two convicted SpyEye hackers get long U.S. prison sentences,
2016-04-20,Microsoft says game over for Xbox 360,
2016-04-21,Microsoft is set to report its quarterly report Thursday. Here’s what to expect: http://on.wsj.com/1SmvQjf,
2016-04-21,Microsoft's key to earnings success in one word http://cnb.cx/1Sdja1w ,
2016-04-21,"Cramer: Alphabet, Microsoft could climb back up http://cnb.cx/1T27ElQ ",
2016-04-21,"Microsoft, Alphabet shares drop after earnings misses http://on.wsj.com/1Seq3j1  via @WSJ",
2016-04-21,Microsoft shares drop after Q3 earnings miss estimates http://bloom.bg/245aSNg pic.twitter.com/OBanFdSFql,
2016-04-21,CORRECTED-Microsoft revenue falls 5.5 pct,
2016-04-21,US STOCKS-Futures hold steady as earnings reports roll in,
2016-04-21,"Australia shares ease on US decline, NZ market cools off",
2016-04-21,"CORRECTED-UPDATE 2-Microsoft revenue, profit misses estimates",
2016-04-21,"As Microsoft soars on cloud, PC partner Intel seeks lift off",
2016-04-21,US STOCKS-Wall Street cedes ground after mixed bag of earnings,
2016-04-21,Microsoft’s key this earnings season: Discipline http://cnb.cx/1MKiQaf  $MSFT,
2016-04-22,US STOCKS-Wall St lower as earnings take sheen off oil surge,
2016-04-22,"Microsoft, Google agree to drop complaints against each other",
2016-04-22,US STOCKS SNAPSHOT-Wall St ends flat as tech shares weigh,
2016-04-22,US STOCKS-Wall St flat as earnings fail to excite investors,
2016-04-22,US STOCKS-Futures flat as investors await earnings reports,
2016-04-22,Spy chief pressed for number of Americans ensnared in data espionage,
2016-04-22,US STOCKS-Wall St set for flat open on mixed earnings reports,
2016-04-22,GLOBAL MARKETS-Yen falls on rate cut talk; earnings hit U.S. stocks,
2016-04-22,Intel and Microsoft face different challenges in shifts to cloud,
2016-04-22,US STOCKS-Earnings drag Wall St lower even as oil steadies,
2016-04-22,Wall St Week Ahead-Upside limited for 2016 even as earnings bottom,
2016-04-22,"Early movers: GE, CAT, CCL, HON, STI, GOOGL, AN, MSFT, SBUX, VRX, SHLD, V & more http://cnb.cx/213T7vJ ",
2016-04-22,Stocks end mixed as $MSFT suffers worst day in a year http://cnb.cx/1VpMwMv pic.twitter.com/ETKDDI0SzI,
2016-04-22,"Microsoft, Alphabet wipe out $53 BILLION in market cap as analysts cut targets http://cnb.cx/1ppcq4U ",
2016-04-22,"Microsoft, Google agree to stop complaining to regulators about each other http://cnb.cx/1r4kAkJ ",
2016-04-22,Microsoft makes peace with Google after EU’s Android complaint http://bloom.bg/1pp3exp pic.twitter.com/e3JYaJ2jFv,
2016-04-22,"Microsoft moves to bury the hatchet with Google, agrees to withdraw its complaints to regulators http://on.wsj.com/1poZ60g",
2016-04-25,"iPhone users, Microsoft has built a keyboard app you'll want to know about. http://on.wsj.com/21dmwUk ",
2016-04-25,Microsoft’s one-handed keyboard app is only for iPhones http://on.wsj.com/21dl6sU ,
2016-04-25,Microsoft’s excellent Windows Phone keyboard is now available for iOS http://cnb.cx/1UcdhTi ,
2016-04-25,US STOCKS-Futures slip as investors pause before Fed meet,
2016-04-25,U.S. weighs disclosure of number of surveilled Americans -spy chief,
2016-04-26,Thyssenkrupp launches MAX elevator service in Germany,
2016-04-27,Smaller tech stocks thrive even as large names get hammered,
2016-04-27,"Nintendo sees smartphone games, new console pushing up FY profit",
2016-04-27,AT&T exec says Internet of Things is a top priority,
2016-04-27,Email privacy bill unanimously passes U.S. House,
2016-04-27,U.S. Congress passes legislation to protect firms' trade secrets,
2016-04-27,Watch out Oracle and Microsoft! Slack is out to replace office productivity software http://bloom.bg/1Wq6V2Q pic.twitter.com/FbynDEBM1x,
2016-04-28,Watch out Oracle and Microsoft! Slack is out to replace office productivity software http://bloom.bg/1Wq6V2Q pic.twitter.com/A8d0MuWoeq,
2016-04-28,Amazon profit crushes estimates as cloud-service revenue soars,
2016-04-29,Google faces first EU fine in 2016 with no deal on cards: sources,
2016-04-29,Google faces first EU fine in 2016 with no deal on cards -sources,
2016-05-03,Microsoft brings snapshot-powered web searches to iPhones,
2016-05-04,Microsoft aims to wrangle data for office teams with SharePoint revamp http://on.wsj.com/26RMGA0 ,
2016-05-04,"Microsoft ups its rivalry with Google, Box and Dropbox with new sharing software http://bloom.bg/26RLXyQ pic.twitter.com/oT4UOLQwRQ",
2016-05-05,"This software start-up scores $253M from Ford, Microsoft and other giants http://cnb.cx/21zZPKr ",
2016-05-05,Exclusive: Big data breaches found at major email services: expert,
2016-05-05,Ford invests $182.2 million in software company Pivotal,
2016-05-05,"Microsoft ups its rivalry with Google, Box and Dropbox with new sharing software http://bloom.bg/26RLXyQ pic.twitter.com/MrpqE8L2Fr",
2016-05-05,"This software start-up scores $253M from Ford, Microsoft and other giants http://cnb.cx/1WbAjf1 ",
2016-05-06,How Windows 10 could save @Microsoft in mobile http://cnb.cx/1QU51AR ,
2016-05-06,Mail.ru denies mass password breach; researcher stands by findings,
2016-05-09,Alleged Syrian hacker sympathetic to Damascus headed to U.S.: source,
2016-05-10,Top trader Najarian says Microsoft has bottomed http://cnb.cx/1T7XW7z  via @CNBCPro,
2016-05-10,Triple A Johnson & Johnson jumps on euro bond bandwagon,
2016-05-11,Top trader Najarian says Microsoft has bottomed http://cnb.cx/1sdc4Rg ,
2016-05-11,Federal Circuit saves part of Microsoft patent from Motorola challenge,
2016-05-12,Wall Street mixed as Apple tumbles to two-year low,
2016-05-12,US STOCKS-Wall Street mixed as Apple tumbles to two-year low,
2016-05-12,Facebook and Microsoft give clean energy a boost with buyer’s group http://bloom.bg/1R0kG1v pic.twitter.com/nKeqw9ZDDX,
2016-05-12,Microsoft exec says industry faces challenge stopping terrorists from using online media http://on.wsj.com/1ZHmNh5 ,
2016-05-17,Microsoft wants Britain to vote against #Brexit and stay in the EU http://bloom.bg/1TkIhA0 pic.twitter.com/SkbXwvDiSf,
2016-05-17,Microsoft says UK staying in EU important for investment,
2016-05-18,"Microsoft to sell feature phone business to Foxconn subsidiary, HMD Global http://reut.rs/2059tTW ",
2016-05-18,Nokia phones are back as Microsoft sells mobile assets for $350M to Foxconn http://cnb.cx/24ZgzMY ,
2016-05-18,"Microsoft to sell feature phone business to Foxconn subsidiary, HMD Global http://reut.rs/1TnwVuQ pic.twitter.com/Qj6Hjzj5ba",
2016-05-18,"Microsoft to sell feature phone business to Foxconn subsidiary, HMD Global: http://reut.rs/27z4sIR pic.twitter.com/w5R6JmIcKo",
2016-05-18,"Microsoft to sell feature phone business to Foxconn subsidiary, HMD Global http://reut.rs/22gaPNm pic.twitter.com/oxSRNMyvIP",
2016-05-18,"GE, Cisco, Airbus and others call for Britain to stay in EU-FT",
2016-05-19,Microsoft has developed a mirror that can read your emotions http://cnb.cx/1NApiB8 ,
2016-05-20,"US STOCKS-Tech, financial stocks prop up Wall St",
2016-05-20,Microsoft has developed a mirror that can read your emotions http://cnb.cx/1TqZgiF ,
2016-05-21,Microsoft has developed a mirror that can read your emotions http://cnb.cx/1NCzlFO ,
2016-05-21,Microsoft to crack down on content promoting extremist acts http://reut.rs/1TwxeDT pic.twitter.com/RVscV9YmHj,
2016-05-23,Wall Street dips; Apple gain fails to offset rate worries,
2016-05-23,US STOCKS-Wall Street dips; Apple gain fails to offset rate worries,
2016-05-23,"With HoloLens, Microsoft aims to avoid Google's mistakes",
2016-05-24,"Nokia could cut 10,000-15,000 jobs worldwide: union",
2016-05-24,"US STOCKS-Wall St jumps as tech, bank stocks rally",
2016-05-24,Red Bull deal gives GoPro wings,
2016-05-24,"US STOCKS-Wall St surges over 1 percent, banks and tech rally",
2016-05-26,US STOCKS-Wall Street pauses after two-day run higher,
2016-05-26,Exclusive: Verizon turns to former Yahoo bankers for bid: sources,
2016-05-26,Push to expand FBI surveillance authority threatens US email privacy bill,
2016-05-26,US STOCKS-Wall Street takes a breather after two-day rally,
2016-05-27,Microsoft and Facebook will build a cable under the Atlantic for faster internet http://bloom.bg/1TLSFkj pic.twitter.com/qOdvpJIzL5,
2016-05-27,Facebook and Microsoft to build fiber optic cable across Atlantic http://on.wsj.com/1qNVdTn ,
2016-05-27,Push to expand FBI surveillance authority threatens U.S. email privacy bill,
2016-05-27,Chinese users criticise Microsoft's push for Windows 10 upgrade-Xinhua,
2016-05-27,Chinese users criticize Microsoft's push for Windows 10 upgrade: Xinhua,
2016-05-31,"Facebook, Twitter, Google and Microsoft pledge to tackle online hate speech in less than 24 hours http://bloom.bg/1Y0zrt6 ",
2016-05-31,"Facebook, Twitter, YouTube, Microsoft back EU hate speech rules http://reut.rs/1qZRguX pic.twitter.com/Y2gVzRsnBZ",
2016-05-31,Why Microsoft is suing the Feds over issues of privacy and security,
2016-05-31,"Google, Facebook, Twitter and Microsoft agree to remove extremist and racist material to comply with EU code http://on.wsj.com/1WW9MSX ",
2016-05-31,"Facebook, Twitter, YouTube, Microsoft back EU hate speech rules: http://reut.rs/280fEOR pic.twitter.com/PAts5I8RFk",
2016-05-31,"Facebook, Twitter, YouTube, Microsoft back EU hate speech rules",
2016-05-31,Microsoft CEO visiting China as anti-trust probe nears third year,
2016-05-31,"Microsoft sells patents to Xiaomi, builds ""long-term partnership""",
2016-06-01,"Microsoft sells patents to Xiaomi, builds 'long-term partnership' http://reut.rs/281RBz9 pic.twitter.com/4JkaSrmsXg",
2016-06-01,Microsoft starts a holographic hub for new technology developed by others http://bloom.bg/1RMAVzH pic.twitter.com/ie0kfnNVIB,
2016-06-01,Bored of virtual reality? Microsoft’s betting on ‘mixed reality’ now http://cnb.cx/1Vw1srW ,
2016-06-01,"After Cook and Zuckerberg, Microsoft’s Nadella is visiting China: 3 reasons why http://cnb.cx/1P4QUJL ",
2016-06-01,"Microsoft sells patents to Xiaomi, builds 'long-term partnership' http://cnb.cx/1WXYLjK ",
2016-06-01,"Facebook, Twitter, YouTube, Microsoft back EU hate speech rules http://cnb.cx/1VublGD ",
2016-06-01,"China’s Xiaomi to buy 1,500 patents from Microsoft http://on.wsj.com/1XdFGuV ",
2016-06-01,"Microsoft sells patents to Xiaomi, builds 'long-term partnership'",
2016-06-01,Microsoft to Make Virtual-Reality Software Available to Others http://on.wsj.com/1XeRtZH ,
2016-06-02,CORRECTED-Tech moguls declare era of artificial intelligence,
2016-06-02,"After Cook and Zuckerberg, Microsoft’s Nadella is visiting China: 3 reasons why http://cnb.cx/1t2qnZr ",
2016-06-02,Microsoft board mulls sales force revamp to speed shift to cloud http://bloom.bg/1Y4bml8 pic.twitter.com/TUeN2yJdkf,
2016-06-02,Microsoft starts a holographic hub for new technology developed by others http://bloom.bg/1RMAVzH pic.twitter.com/HOkxObpZkh,
2016-06-02,Tech moguls declare era of artificial intelligence,
2016-06-03,Microsoft not building driverless car but wants to help with tech,
2016-06-03,Why Microsoft won't build a driverless car,
2016-06-06,Oracle whistleblower suit raises questions over cloud accounting,
2016-06-10,Wikipedia warns against French attempt to extend EU privacy law globally,
2016-06-13,Hail a ride hands-free: Apple opens Siri to outside developers,
2016-06-13,US STOCKS-Microsoft drags Wall St; Fed meet awaited,
2016-06-13,US STOCKS-Wall St little changed as oil prices recover,
2016-06-13,Microsoft's LinkedIn buy panned on social and trading sites,
2016-06-13,MOVES-Boutique capital markets firm Demica adds three new roles,
2016-06-13,Microsoft says to buy LinkedIn for $26.2 bln,
2016-06-13,Microsoft’s CEO abandons prudence with LinkedIn,
2016-06-13,Brexit and Fed fears weigh on world stocks; yen firms,
2016-06-13,US STOCKS-Wall St slides for third straight session; big tech drags,
2016-06-13,Apple enhances Siri but still trails in artificial intelligence race,
2016-06-13,"US STOCKS-Wall St set for lower open as Brexit vote, Fed meet loom",
2016-06-13,"GLOBAL MARKETS-Brexit worries push down world stocks, lift yen",
2016-06-13,LinkedIn turns to small boutiques for M&A advice,
2016-06-13,Microsoft unveils new Xbox console at E3,
2016-06-13,GLOBAL MARKETS-Brexit and Fed fears weigh on world stocks; yen firms,
2016-06-14,US STOCKS-Wall St set to open lower ahead of Fed meet,
2016-06-14,US STOCKS-Wall St little changed ahead of Fed meet,
2016-06-14,"Finland, home to Nokia and jobless engineers, struggles to fill tech jobs",
2016-06-15,Cybercrime market sells servers for as little as 6 dollars to launch attacks,
2016-06-15,Cybercrime market sells servers for as little as $6 to launch attacks,
2016-06-15,Microsoft opposes U.S. labor board ruling on contract worker rights,
2016-06-15,"Bolivia cries fowl, rejects hens donation from Bill Gates",
2016-06-16,Israeli high-tech company extends hand to Gaza's programmers,
2016-06-16,Oracle's cloud strength boosts quarterly revenue,
2016-06-17,"Gates says UK outside EU is ""significantly less attractive"" for business",
2016-06-20,Mobile telecom challenger sees progress in Britain,
2016-06-21,"US STOCKS-S&P, Dow hold gains even as Yellen paints bleak picture",
2016-06-22,"U.S. high court's Alito sells oil company shares, documents show",
2016-06-22,"Supreme Court's Alito sells oil company shares, documents show",
2016-06-23,U.S. Supreme Court weighs review of canceled patent on prenatal test,
2016-06-24,"Google, Facebook quietly move toward automatic blocking of extremist videos",
2016-06-25,"Exclusive: Google, Facebook quietly move toward automatic blocking of extremist videos",
2016-06-27,Lyft hires investment bank Qatalyst Partners -WSJ,
2016-06-27,Supreme Court refuses to review prenatal test patent dispute,
2016-06-27,U.S. extends ZTE reprieve for alleged Iran sanctions violations,
2016-06-27,"Google beats children's web privacy appeal, Viacom to face one claim",
2016-06-27,U.S. Supreme Court refuses to review prenatal test patent dispute,
2016-06-27,Roster of top stars honor Prince at annual BET awards,
2016-06-27,Lyft hires investment bank Qatalyst Partners: WSJ,
2016-06-27,How Microsoft's $26 billion acquisition of LinkedIn could change education http://bloom.bg/294Uieh pic.twitter.com/Nr3fx7aXxd,
2016-06-28,Sell Microsoft shares because company still beholden to the dying PC: Jefferies http://cnb.cx/294WeS3  via @CNBCPro,
2016-06-28,Sell Microsoft shares because company still beholden to the dying PC: Jefferies http://cnb.cx/29853eq ,
2016-06-28,How Microsoft's $26 billion acquisition of LinkedIn could change education http://bloom.bg/294Uieh pic.twitter.com/sDgK8sX4n6,
2016-06-28,US STOCKS-Wall St rebounds as post-Brexit bargain hunt begins,
2016-06-30,"Apple, Google, Facebook, Amazon, Microsoft wont' be biggest in 20 years: Top VC http://cnb.cx/294YuG5 ",
2016-06-30,Obama administration calls on private sector to assist refugees,
2016-06-30,Microsoft CEO Satya Nadella signs deal for first book http://on.wsj.com/296NTfK ,
2016-07-02,How Microsoft's $26 billion acquisition of LinkedIn could change education http://bloom.bg/294Uieh pic.twitter.com/M5W0PCob0H,
2016-07-02,Here's why Microsoft had to pony up $6 billion more to nab LinkedIn http://cnb.cx/29jrtuD ,
2016-07-03,Bidding from Salesforce pushed Microsoft to raise its offer for LinkedIn http://on.wsj.com/29bAtNw ,
2016-07-04,"Monsanto, Microsoft to invest in agricultural technology in Brazil http://reut.rs/29k6AMk pic.twitter.com/rVsnmF6GMV",
2016-07-05,"Monsanto, Microsoft to invest in agricultural technology in Brazil http://cnb.cx/29sPbVj ",
2016-07-05,How Microsoft's $26 billion acquisition of LinkedIn could change education http://bloom.bg/294Uieh pic.twitter.com/KXwPe0paH7,
2016-07-06,U.S. defends warrantless spying in Christmas tree bomber case,
2016-07-06,Microsoft is revamping its cloud-based business apps http://bloom.bg/29nvFZw pic.twitter.com/psAb2CU2K9,
2016-07-08,Major U.S. companies ask judge to block NC transgender bathroom law,
2016-07-11,Microsoft confirms Finnish site closure and job cuts http://reut.rs/29vfPaO ,
2016-07-11,Microsoft's Azure cloud wins a high-profile new customer—GE http://cnb.cx/29v57kz ,
2016-07-11,COMING UP at 10:30aET: @jonfortt with the CEOs of @Microsoft and @generalelectric on @SquawkStreetpic.twitter.com/y4SuIatdZT,
2016-07-11,Microsoft CEO said Pokemon Go could be gold for other companies http://cnb.cx/29w9kog ,
2016-07-11,GE is taking its industrial internet-of-things platform to Microsoft’s Azure cloud platform http://on.wsj.com/29HyiVO ,
2016-07-11,America needs to be a 'beacon of progress' for globalization: Microsoft CEO http://cnb.cx/29vAF9R ,
2016-07-11,Tech deal reboot exemplifies valuation disconnect,
2016-07-11,"Google notifies users of 4,000 state-sponsored cyber attacks per month: exec",
2016-07-11,Microsoft confirms Finnish site closeure and job cuts,
2016-07-11,Microsoft confirms Finnish site closure and job cuts,
2016-07-12,EU-U.S. commercial data transfer pact enters into force,
2016-07-12,"Google notifies users of 4,000 state-sponsored cyber attacks per month: executive",
2016-07-14,Microsoft wins US appeal over warrant for emails http://cnb.cx/29ESm74 ,
2016-07-14,Microsoft wins landmark appeal over seizure of foreign emails http://reut.rs/29Gyuqo pic.twitter.com/aXLDB4wgif,
2016-07-14,Microsoft wins U.S. appeal over warrant for emails held abroad http://reut.rs/29Gq0LT pic.twitter.com/WPKBE17MJN,
2016-07-14,Israel to slash tax rates to tech firms to fight tax havens,
2016-07-14,Microsoft wins U.S. appeal over warrant for emails held abroad,
2016-07-14,Microsoft wins landmark appeal over seizure of foreign emails,
2016-07-14,Microsoft won't be forced to turn over emails stored in Ireland to the U.S. government for a drug investigation http://bloom.bg/29AYePd ,
2016-07-14,Microsoft wins appeals ruling on data searches http://on.wsj.com/29HaOhv  $MSFT,
2016-07-15,Corrected: Buffett donates nearly $2.9 billion to Gates charity and four others,
2016-07-15,Obama administration seeks to ease data sharing with foreign governments,
2016-07-18,What it will take for Microsoft to return to growth http://cnb.cx/29PHXW0 ,
2016-07-19,Microsoft stock jumps as its cloud product's sales double http://cnb.cx/2aePByM ,
2016-07-19,US STOCKS-S&P pulls back from record; Dow notches 8th day of gains,
2016-07-19,"US STOCKS-S&P, Nasdaq dragged down by Netflix; J&J props up Dow",
2016-07-19,US STOCKS-Wall St drops with tech stocks; Netflix weighs,
2016-07-19,United States joins case over Facebook data transfers from EU,
2016-07-19,"Cloud business boosts Microsoft's quarterly revenue, shares rise",
2016-07-19,Countdown to Microsoft earnings on Wall Street http://cnb.cx/29SpMiR ,
2016-07-19,"After-hours buzz: MSFT, DFS, CTAS & more http://cnb.cx/29SJY3K ",
2016-07-19,"Microsoft annual revenue falls, but quarterly profit beats expectations http://on.wsj.com/29S4Pu7  $MSFT",
2016-07-19,Here are the key points from Microsoft's Q2 earnings report http://bloom.bg/29MBagt pic.twitter.com/qQYyOcG4Ac,
2016-07-19,S&P pulls back from record; Dow notches eighth day of gains,
2016-07-19,Traders weigh buying big tech after Microsoft's earnings beat http://cnb.cx/2aeMfMv ,
2016-07-20,"CANADA STOCKS-Futures point to higher start, U.S. earnings in focus",
2016-07-20,European tech index hits 6-month high as SAP and ASML climb,
2016-07-20,European shares get tech boost as SAP and ASML surge on results,
2016-07-20,Microsoft helps Wall St. to another day of record highs,
2016-07-20,"US STOCKS-Dow, S&P poised for record high on strong earnings",
2016-07-20,France says orders Microsoft to stop collecting excessive data by users,
2016-07-20,US STOCKS SNAPSHOT-Microsoft leads Wall St to fresh record highs,
2016-07-20,"GLOBAL MARKETS-S&P, Dow hit records; dollar inches to 4-month high",
2016-07-20,US STOCKS-Microsoft helps Wall St to another day of record highs,
2016-07-20,"US STOCKS-Microsoft lifts Dow, S&P to records, before oil limits gains",
2016-07-20,"GLOBAL MARKETS-S&P, Dow set records; dollar hits 4-month high",
2016-07-20,"US STOCKS SNAPSHOT-S&P, Dow hit new peaks on strong earnings",
2016-07-20,"Early movers: MS, HAL, TUP, DIS, PNRA, MSFT, ISRG, FOXA, GE, UL & more http://cnb.cx/29UbSMP ",
2016-07-20,"GLOBAL MARKETS-S&P, Dow stay on record-setting run; dollar firm",
2016-07-20,What the Microsoft earnings beat means for the market: Trader http://cnb.cx/2ag3NHP ,
2016-07-20,"S&P, Dow stay on record-setting run; dollar firm",
2016-07-20,"Cloud business boosts Microsoft's quarterly revenue, shares rise http://reut.rs/29SreHV pic.twitter.com/30Nka1XODz",
2016-07-20,"Microsoft CEO celebrates 'pivotal year' as Office 365, cloud make gains http://cnb.cx/2aeW78Q  via @cnbctech",
2016-07-21,"Intellectual Ventures says Enfish saves its patents, telecoms beg to differ",
2016-07-21,FOREX-Yen hits 6-week low as Japan stimulus hopes support risk sentiment,
2016-07-21,US STOCKS-Wall St little changed on mixed earnings reports,
2016-07-21,"US STOCKS-Futures little changed ahead of raft of data, earnings",
2016-07-22,"US STOCKS-Tech, telecoms lead Wall St higher, GE weighs on Dow",
2016-07-25,"U.S. cyber security startup StackPath raises $150 mln, says CEO",
2016-07-25,"U.S. cyber security startup StackPath raises $150 million, says CEO",
2016-07-26,Yahoo fittingly closes portal on tech M&A misses,
2016-07-26,EU privacy watchdogs keep open mind on new U.S. data pact,
2016-07-26,The identity crisis that led to Yahoo's demise,
2016-07-27,Disappointing earnings revive speculation on Twitter's future,
2016-07-28,"Bezos passes Buffett, becomes third-richest person: Forbes",
2016-07-28,"Bezos passes Buffett, becomes third-richest person -Forbes",
2016-07-28,"Microsoft will cut 2,850 more jobs in its exit from the smartphone business http://bloom.bg/2aeV3xI pic.twitter.com/5YgsNACpc4",
2016-07-28,"Microsoft to cut 2,850 more jobs http://reut.rs/2autmCU pic.twitter.com/Qkq8kmsvmA",
2016-07-29,"Microsoft to cut 2,850 more jobs http://cnb.cx/2agYy6B ",
2016-07-29,"Microsoft to shed 2,850 additional jobs http://on.wsj.com/2aryhWQ ",
2016-07-29,"Microsoft to cut 2,850 more jobs http://reut.rs/2agleZG pic.twitter.com/ss4IocqCAI",
2016-07-29,Alphabet and Amazon wind up stellar quarter for big tech,
2016-08-01,"GLOBAL MARKETS-Global stocks steady, lower oil prices cap gains",
2016-08-02,Microsoft is transforming the bond market as well as its business http://bloom.bg/2aK6H74 pic.twitter.com/3nRvMKKqKJ,
2016-08-02,Famed hacker creates new ratings system for software,
2016-08-03,"Big tech may halt earnings recession, if it delivers Q3 numbers",
2016-08-03,"Big tech may halt earnings recession, if it delivers third-quarter numbers",
2016-08-04,US STOCKS-Wall St little changed as jobs data looms,
2016-08-04,US STOCKS-Wall St set to open little changed after BoE cuts rates,
2016-08-04,Apple offers big cash rewards for help finding security bugs,
2016-08-04,US STOCKS-Futures slightly higher after BoE cuts rates,
2016-08-04,US STOCKS-Wall St opens little changed after BoE cuts rates,
2016-08-08,Union drops joint employment claims against Microsoft,
2016-08-15,Activist fund ValueAct takes about 2 pct stake in Morgan Stanley,
2016-08-16,Activist fund ValueAct takes about 2 percent stake in Morgan Stanley,
2016-08-17,As technology shifts more layoffs loom at tech companies,
2016-08-22,Chinese investors buy ad tech startup Media.net for $900 million,
2016-08-23,"CORRECTED-US STOCKS-Wall St moves higher, led by tech; Nasdaq hits record",
2016-08-23,Informatica expects valuation to double in five years,
2016-08-23,"US STOCKS-Tech, housing help lift Wall St as investors await Fed",
2016-08-29,US STOCKS-Wall St rises as hawkish Fed boosts financial stocks,
2016-08-30,Digital mapping firm HERE wants new investor by year-end: Handelsblatt,
2016-08-31,Microsoft to sell MSN China web portal $MSFT,
2016-09-01,"US STOCKS-S&P, Dow little changed; Charter boosts Nasdaq",
2016-09-01,Microsoft is testing a cool new feature for Windows 10 http://cnb.cx/2bMbHXb  via @cnbctech,
2016-09-02,Microsoft gets support in gag order lawsuit from U.S. companies,
2016-09-03,Microsoft gets support in gag order lawsuit from U.S. companies http://reut.rs/2bJudSM pic.twitter.com/SVRXoyeESB,
2016-09-03,Microsoft gets support in gag order lawsuit from U.S. companies http://reut.rs/2bJ0Xqs pic.twitter.com/fDkOxfkZLN,
2016-09-07,Sony unveils new versions of PlayStation 4,
2016-09-07,Brussels calling: tech firms add lobby strength as EU gets tough,
2016-09-09,Seagate Tech invites ValueAct in as major shareholder,
2016-09-13,"EU reform plans to boost telcos, publishers due on Wednesday",
2016-09-14,"YOUR MONEY-As baby leaves go gender-neutral, dads get time off",
2016-09-14,"As baby leaves go gender-neutral, dads get time off",
2016-09-15,Oracle's profit forecast misses estimates; shares slip,
2016-09-16,Starbucks allows long-term shareholders to nominate board members,
2016-09-16,Apple tax row raises $2.1 trillion question for forex traders,
2016-09-16,Apple tax row raises $2.1 trillion question for FX traders,
2016-09-16,Twitter users cheer Thursday Night Football live video,
2016-09-16,"At gamers' meet in Tokyo, absent Nintendo is talk of the town",
2016-09-17,"Global fund raises $12.9 billion to fight AIDS, TB and malaria",
2016-09-19,"Google, Microsoft and Yahoo will block ads for gender-selection services in India http://bloom.bg/2cNpOKA pic.twitter.com/4dN6Wxzt03",
2016-09-20,"Microsoft launches $40 billion buyback program, raises dividend",
2016-09-20,"Microsoft raises dividend, plans $40 billion share buyback",
2016-09-20,Microsoft gets into the AI medicine race against Google and IBM http://bloom.bg/2cm77Sp pic.twitter.com/cgopzYCG2s,
2016-09-20,Microsoft just unveiled a new Nokia phone http://cnb.cx/2dg9039 ,
2016-09-20,Microsoft gets into the AI medicine race against Google and IBM,
2016-09-20,"Microsoft raises dividend, plans $40 billion share buyback http://reut.rs/2cPHw1I ",
2016-09-20,"BREAKING: Microsoft announces new buyback of $40B, raises dividend",
2016-09-20,Microsoft plans to repurchase up to another $40 billion in stock http://bloom.bg/2cn4cZQ pic.twitter.com/QAtNLhYXMA,
2016-09-20,"Google, Microsoft and Yahoo will block ads for gender-selection services in India http://bloom.bg/2clbu00 pic.twitter.com/hQWghzI13L",
2016-09-21,Microsoft plans $40 billion stock buyback and raises dividend,
2016-09-21,"Microsoft sets $40 billion stock buyback, raises dividend http://cnb.cx/2dj58OZ  via @cnbctech",
2016-09-21,Microsoft gets into the AI medicine race against Google and IBM http://bloom.bg/2cSIE30 pic.twitter.com/xgvm06ziEY,
2016-09-21,US STOCKS-Wall St set to open higher ahead of Fed rate decision,
2016-09-22,Microsoft's Windows 10 has caused us 'nothing but trouble' say users http://cnb.cx/2dlLJwQ ,
2016-09-22,Chan Zuckerberg Initiative pledges $3 billion to fight disease,
2016-09-22,Microsoft's Windows 10 has caused us 'nothing but trouble' say users http://cnb.cx/2cqLFeV ,
2016-09-26,"MORE: Microsoft seen as possible Twitter bidder, Disney also looking; sale could happen in 30 to 45 days - sources http://www.cnbc.com/2016/09/26/microsoft-seen-as-possible-twitter-bidder-source.html …",
2016-09-26,Microsoft is joining with Adobe to offer more marketing products via the cloud http://bloom.bg/2db5B3z pic.twitter.com/UtYRw16QxS,
