Q1885456, P127, Q1172486
Q100742283, P133, Q1763845
Q333718, P109, Q632059
Q2283, P100, Q1763845
Q13677, P129, Q312
Q2283, P165, Q17163979
Q13677, P109, Q100774275
Q2283, P100, Q251212
Q2283, P105, Q95
Q13677, P109, Q100774275
Q37093, P108, Q467752
Q100785000, P136, Q17955
Q2283, P165, Q1636958
Q2283, P100, Q86946741
Q317521, P133, Q11660
Q100772771, P164, Q19900
Q180, P105, Q2961237
Q2283, P100, Q213660
Q2283, P133, Q132020
Q2283, P105, Q30
Q19900, P109, Q483639
Q5500443, P163, Q247792
Q242345, P109, Q100774275
Q11138, P165, Q11692
Q11201, P121, Q5031373
Q95, P105, Q100783195
Q17077936, P146, Q7267084
Q13677, P109, Q7888194
Q3127696, P133, Q7426870
Q2283, P154, Q213660
Q941127, P108, Q213660
Q2283, P148, Q155
Q2283, P162, Q1932945
Q30, P105, Q24964968
Q2283, P118, Q100765019
Q458, P101, Q30
Q2283, P100, Q2334719
Q4206667, P109, Q5227350
Q13677, P109, Q100774275
Q2283, P112, Q15209696
Q183984, P129, Q1134378
Q13677, P109, Q100774275
Q55641880, P109, Q5978114
Q37093, P118, Q731112
Q2283, P124, Q656365
Q13677, P142, Q179179
Q3327412, P101, Q100742823
Q3122864, P105, Q176494
Q312, P154, Q64981993
Q2283, P159, Q703534
Q22032186, P148, Q334204
Q3122864, P129, Q703534
Q148, P100, Q24885109
Q13677, P109, Q3122864
Q13677, P109, Q100718154
Q2283, P165, Q148
Q2283, P138, Q18168774
Q2283, P134, Q28813
Q2283, P170, Q1553390
Q41187, P133, Q5014725
Q705392, P164, Q22032185
Q458, P109, Q2401749
Q19900, P107, Q748250
Q2934671, P157, Q312
Q1414657, P105, Q12204
Q2283, P105, Q873308
Q2283, P133, Q1418
Q2283, P109, Q181201
Q21623039, P105, Q12136
Q2283, P108, Q1323528
Q13677, P109, Q1407190
Q95, P114, Q483639
Q29279, P100, Q1364394
Q37093, P138, Q570871
Q5365696, P174, Q20718
Q668, P111, Q1031943
Q464996, P167, Q100741378
Q20718, P123, Q703534
Q2283, P164, Q100741360
Q941127, P100, Q7673435
Q2283, P109, Q850210
Q183984, P129, Q1134378
Q242345, P109, Q1134378
Q655286, P131, Q219563
Q128831, P105, Q7353270
Q20800404, P109, Q866
Q27096258, P101, Q100783933
Q2283, P131, Q8732640
Q159, P137, Q179550
Q2283, P133, Q2283
Q95, P136, Q326498
Q8646, P168, Q1137062
Q13677, P109, Q6294
Q29468, P100, Q15261477
Q13677, P109, Q17661131
Q13677, P129, Q100774275
Q297279, P109, Q7795
Q334, P175, Q644238
Q242345, P109, Q2304346
Q575782, P109, Q100774275
